Condition,Replicate,10/14/19 22:30,10/15/19 10:00,10/15/19 19:30,10/16/19 12:00,10/16/19 19:30,10/17/19 10:00,10/17/19 21:00,10/18/19 11:40,10/18/19 17:20,10/19/19 17:20,10/20/19 15:28,10/21/19 12:17,10/21/19 19:12,10/22/19 12:06,10/22/19 18:22,10/23/19 12:00,10/24/19 12:00,10/24/19 13:00,10/25/19 14:30,10/26/19 17:40,10/27/19 20:10,10/28/19 10:30,10/29/19 12:50
Reg,1,0.02,0.04,0,0.02,0.06,0.1,0.17,0.35,0.44,0.61,0.66,0.66,0.62,0.67,0.64,0.59,0.48,,0.43,0.42,0.42,0.37,0.35
Reg,2,0.02,0.03,0.04,0.01,0.09,0.13,0.18,0.35,0.46,0.57,0.64,0.65,0.63,0.64,0.58,0.55,0.5,,0.46,0.47,0.42,0.35,0.38
Reg,3,0,0.02,0.04,0.04,0.08,0.12,0.19,0.36,0.45,0.59,0.7,0.62,0.61,0.58,0.63,0.55,0.48,,0.45,0.41,0.39,0.38,0.34
0.25 mM Cys,1,0.01,0.04,0,0.03,0.05,0.08,0.09,0.08,0.15,0.15,0.17,0.15,0.13,0.17,0.16,0.21,0.18,,0.17,0.14,0.12,0.15,0.12
0.25 mM Cys,2,0.01,0.02,0.02,0.02,0.06,0.05,0.08,0.11,0.17,0.13,0.15,0.13,0.14,0.14,0.11,0.16,0.16,,0.11,0.13,0.11,0.12,0.11
0.25 mM Cys,3,0,0.05,0.03,0.03,0.07,0.08,0.09,0.11,0.14,0.11,0.17,0.14,0.15,0.11,0.13,0.17,0.15,,0.12,0.12,0.13,0.14,0.1
0.2 mM Cys,1,0,0.02,0.04,0.01,0.06,0.05,0.07,0.11,0.15,0.1,0.15,0.12,0.13,0.14,0.16,0.18,0.13,,0.13,0.09,0.16,0.16,0.1
0.2 mM Cys,2,0,0.05,0.05,0.01,0.07,0.06,0.08,0.12,0.17,0.11,0.18,0.15,0.13,0.14,0.1,0.18,0.14,,0.13,0.14,0.12,0.12,0.15
0.15 mM Cys,1,0,0.06,0.04,0,0.06,0.04,0.06,0.08,0.12,0.09,0.16,0.14,0.11,0.14,0.12,0.12,0.17,,0.14,0.14,0.17,0.13,0.1
0.15 mM Cys,2,0.01,0.06,0.03,0.02,0.04,0.08,0.11,0.14,0.15,0.13,0.17,0.15,0.17,0.19,0.14,0.13,0.14,,0.14,0.13,0.18,0.1,0.14
0.15 mM Cys,3,0.01,0.01,0,0.01,0.03,0.07,0.08,0.12,0.13,0.14,0.11,0.1,0.1,0.15,0.13,0.15,0.17,,0.23,0.29,0.24,0.24,0.22
0.1 mM Cys,1,0,0.06,0.02,0,0.06,0.07,0.08,0.13,0.1,0.1,0.14,0.13,0.13,0.14,0.15,0.17,0.12,,0.11,0.14,0.15,0.14,0.12
0.1 mM Cys,2,0,0.04,0,0.02,0.05,0.06,0.08,0.11,0.08,0.11,0.11,0.13,0.12,0.16,0.12,0.17,0.13,,0.09,0.1,0.1,0.15,0.16
0.1 mM Cys,3,0.01,0.05,0.01,0.02,0.05,0.06,0.06,0.09,0.07,0.06,0.08,0.08,0.08,0.11,0.15,0.15,0.13,,0.09,0.1,0.12,0.12,0.13
0.05 mM Cys,1,0,0.03,0.01,0,0.06,0.06,0.08,0.11,0.09,0.09,0.1,0.12,0.09,0.19,0.2,0.15,0.17,,0.33,0.57,0.63,0.65,0.73
0.05 mM Cys,2,0,0.05,0.05,0,0.07,0.06,0.06,0.08,0.11,0.07,0.1,0.13,0.12,0.2,0.21,0.18,0.26,,0.47,0.66,0.69,0.74,0.71
0.05 mM Cys,3,0.01,0.02,0.06,0.01,0.04,0.05,0.02,0.06,0.08,0.05,0.13,0.14,0.1,0.22,0.19,0.21,0.19,,0.27,0.54,0.58,0.62,0.68
0.025 mM Cys,1,0.02,0.01,0.03,0.03,0.06,0.07,0.07,0.05,0.12,0.11,0.19,0.26,0.27,0.46,0.48,0.54,0.59,,0.65,0.67,0.68,0.64,0.61
0.025 mM Cys,3,0.01,0.01,0.03,0.04,0.05,0.05,0.05,0.1,0.12,0.12,0.32,0.38,0.37,0.62,0.63,0.72,0.68,,0.74,0.69,0.67,0.65,0.62
0.25 mM Sulf,1,0,0.03,0.03,0.05,0.06,0.04,0.02,0.05,0.05,0.04,0.09,0.08,0.06,0.08,0.13,0.13,,0.07,0.07,0.09,0.1,0.06,0.11
0.25 mM Sulf,2,0.01,0.06,0.03,0,0.04,0.04,0.07,0.07,0.06,0.06,0.08,0.06,0.06,0.05,0.15,0.12,,0.09,0.09,0.06,0.07,0.08,0.09
0.25 mM Sulf,3,0,0.03,0.02,0.02,0.05,0.04,0,0.07,0.04,0.05,0.05,0.07,0.04,0.11,0.14,0.11,,0.08,0.04,0.07,0.08,0.09,0.1
0.2 mM Sulf,1,0.01,0.04,0.04,0.03,0.06,0.04,0.04,0.06,0.02,0.05,0.08,0.09,0.06,0.07,0.12,0.07,,0.05,0.05,0.08,0.07,0.04,0.09
0.2 mM Sulf,2,0,0.04,0,0.04,0.04,0.02,0.04,0.03,0.07,0.03,0.09,0.07,0.07,0.05,0.1,0.13,,0.06,0.06,0.11,0.08,0.05,0.04
0.2 mM Sulf,3,0,0.04,0.02,0.03,0.05,0.02,0.01,0.03,0.05,0.05,0.08,0.08,0.05,0.03,0.13,0.1,,0.07,0.07,0.11,0.07,0.03,0.07
0.15 mM Sulf,1,0,0.02,0.02,0,0.05,0.02,0.02,0.05,0.04,0.03,0.07,0.06,0.08,0.04,0.15,0.14,,0.07,0.07,0.09,0.04,0.03,0.05
0.15 mM Sulf,2,0.01,0.04,0,0,0.07,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.07,0.12,0.13,,0.08,0.07,0.09,0.03,0.04,0.3
0.15 mM Sulf,3,0,0.02,0.01,0.02,0.05,0.05,0.03,0.05,0.02,0.05,0.04,0.06,0.07,0.04,0.09,0.1,,0.06,0.09,0.08,0.07,0.05,0.07
0.1 mM Sulf,1,0.01,0.05,0.01,0.03,0.06,0.03,0,0.03,0.02,0.03,0.07,0.1,0.1,0.12,0.14,0.16,,0.17,0.27,0.52,0.65,0.68,0.69
0.1 mM Sulf,2,0.02,0.05,0,0,0.07,0.03,0.03,0.06,0.06,0.05,0.06,0.08,0.08,0.09,0.12,0.19,,0.22,0.45,0.69,0.67,0.68,0.68
0.05 mM Sulf,1,0,0.02,0.04,0.02,0.06,0.04,0.03,0.06,0.06,0.07,0.06,0.07,0.06,0.11,0.13,0.28,,0.43,0.67,0.74,0.75,0.64,0.65
0.05 mM Sulf,2,0.03,0.02,0,0.03,0.04,0.01,0.01,0.05,0.04,0.03,0.13,0.2,0.19,0.42,0.43,0.56,,0.65,0.7,0.62,0.54,0.6,0.57
0.05 mM Sulf,3,0.02,0.01,0,0.02,0.06,0.03,0.02,0.06,0.04,0.06,0.18,0.25,0.33,0.64,0.61,0.75,,0.7,0.71,0.68,0.6,0.48,0.53
0.025 mM Sulf,1,0.03,0.03,0,0.02,0.06,0.02,0.02,0.09,0.1,0.23,0.45,0.64,0.67,0.72,0.68,0.73,,0.57,0.6,0.58,0.55,0.56,0.42
0.025 mM Sulf,2,0,0.02,0.01,0.01,0.04,0.04,0.03,0.12,0.15,0.3,0.66,0.77,0.75,0.8,0.8,0.74,,0.61,0.58,0.55,0.47,0.47,0.46